file,line_name,station_name
7号线_花木路.csv,7号线,花木路
6号线_高青路.csv,6号线,高青路
1号线_上海火车站.csv,1号线,上海火车站
7号线_长清路.csv,7号线,长清路
4号线_大木桥路.csv,4号线,大木桥路 
10号线_邮电新村.csv,10号线,邮电新村
9号线_打浦桥.csv,9号线,打浦桥
2号线_虹桥火车站.csv,2号线,虹桥火车站
11号线_三林东.csv,11号线,三林东
3号线_龙漕路.csv,3号线,龙漕路
10号线_上海动物园.csv,10号线,上海动物园
11号线_花桥.csv,11号线,花桥
11号线_龙耀路.csv,11号线,龙耀路
7号线_场中路.csv,7号线,场中路
16号线_临港大道.csv,16号线,临港大道
7号线_云台路.csv,7号线,云台路
9号线_商城路.csv,9号线,商城路
4号线_宜山路.csv,4号线,宜山路
3号线_中潭路.csv,3号线,中潭路
1号线_中山北路.csv,1号线,中山北路
11号线_嘉定新城.csv,11号线,嘉定新城
16号线_航头东.csv,16号线,航头东
1号线_上海南站.csv,1号线,上海南站
9号线_杨高中路.csv,9号线,杨高中路
1号线_通河新村.csv,1号线,通河新村
7号线_上大路.csv,7号线,上大路
10号线_三门路.csv,10号线,三门路
9号线_七宝.csv,9号线,七宝
1号线_汉中路.csv,1号线,汉中路
2号线_川沙.csv,2号线,川沙
8号线_沈杜公路.csv,8号线,沈杜公路
8号线_陆家浜路.csv,8号线,陆家浜路
6号线_金桥路.csv,6号线,金桥路
11号线_上海游泳馆.csv,11号线,上海游泳馆
3号线_石龙路.csv,3号线,石龙路
11号线_三林.csv,11号线,三林
7号线_静安寺.csv,7号线,静安寺
11号线_上海汽车城.csv,11号线,上海汽车城
10号线_江湾体育场.csv,10号线,江湾体育场
11号线_罗山路.csv,11号线,罗山路
2号线_金科路.csv,2号线,金科路
10号线_豫园.csv,10号线,豫园
6号线_临沂新村.csv,6号线,临沂新村
10号线_新江湾城.csv,10号线,新江湾城
2号线_海天三路.csv,2号线,海天三路
4号线_东安路.csv,4号线,东安路
5号线_颛桥.csv,5号线,颛桥
11号线_上海西站.csv,11号线,上海西站
4号线_蓝村路.csv,4号线,蓝村路
9号线_佘山.csv,9号线,佘山
2号线_唐镇.csv,2号线,唐镇
8号线_联航路.csv,8号线,联航路
12号线_东陆路.csv,12号线,东陆路
11号线_光明路.csv,11号线,光明路
1号线_人民广场.csv,1号线,人民广场
5号线_闵行开发区.csv,5号线,闵行开发区
10号线_海伦路.csv,10号线,海伦路
3号线_铁力路.csv,3号线,铁力路
1号线_共富新村.csv,1号线,共富新村
2号线_东昌路.csv,2号线,东昌路
16号线_鹤沙航城.csv,16号线,鹤沙航城
11号线_隆德路.csv,11号线,隆德路
11号线_龙华.csv,11号线,龙华
7号线_后滩.csv,7号线,后滩
7号线_龙华中路.csv,7号线,龙华中路
1号线_共康路.csv,1号线,共康路
10号线_国权路.csv,10号线,国权路
6号线_高科西路.csv,6号线,高科西路
6号线_东方体育中心.csv,6号线,东方体育中心
11号线_上海赛车场.csv,11号线,上海赛车场
12号线_杨高北路.csv,12号线,杨高北路
1号线_常熟路.csv,1号线,常熟路
3号线_延安西路.csv,3号线,延安西路
8号线_中华艺术宫.csv,8号线,中华艺术宫
7号线_顾村公园.csv,7号线,顾村公园
6号线_北洋泾路.csv,6号线,北洋泾路
12号线_爱国路.csv,12号线,爱国路
11号线_李子园路.csv,11号线,李子园路
1号线_宝安公路.csv,1号线,宝安公路
9号线_松江新城.csv,9号线,松江新城
1号线_锦江乐园.csv,1号线,锦江乐园
7号线_罗南新村.csv,7号线,罗南新村
11号线_桃浦新村.csv,11号线,桃浦新村
1号线_黄陂南路.csv,1号线,黄陂南路
7号线_芳华路.csv,7号线,芳华路
16号线_书院.csv,16号线,书院
10号线_紫藤路.csv,10号线,紫藤路
7号线_昌平路.csv,7号线,昌平路
6号线_东明路.csv,6号线,东明路
10号线_天潼路.csv,10号线,天潼路
9号线_泗泾.csv,9号线,泗泾
9号线_徐家汇.csv,9号线,徐家汇
4号线_杨树浦路.csv,4号线,杨树浦路
11号线_昌吉东路.csv,11号线,昌吉东路
11号线_江苏路.csv,11号线,江苏路
16号线_滴水湖.csv,16号线,滴水湖
16号线_新场.csv,16号线,新场
3号线_殷高西路.csv,3号线,殷高西路
11号线_兆丰路.csv,11号线,兆丰路
8号线_芦恒路.csv,8号线,芦恒路
16号线_周浦东.csv,16号线,周浦东
._16号线_周浦东.csv,._16号线,周浦东
10号线_新天地.csv,10号线,新天地
7号线_常熟路.csv,7号线,常熟路
8号线_浦江镇.csv,8号线,浦江镇
7号线_刘行.csv,7号线,刘行
4号线_南浦大桥.csv,4号线,南浦大桥
9号线_马当路.csv,9号线,马当路
1号线_上海马戏城.csv,1号线,上海马戏城
5号线_剑川路.csv,5号线,剑川路
11号线_曹杨路.csv,11号线,曹杨路
2号线_张江高科.csv,2号线,张江高科
2号线_威宁路.csv,2号线,威宁路
1号线_富锦路.csv,1号线,富锦路
6号线_浦电路.csv,6号线,浦电路
2号线_江苏路.csv,2号线,江苏路
12号线_提篮桥.csv,12号线,提篮桥
5号线_文井路.csv,5号线,文井路
2号线_徐泾东.csv,2号线,徐泾东
8号线_杨思.csv,8号线,杨思
5号线_银都路.csv,5号线,银都路
6号线_博兴路.csv,6号线,博兴路
3号线_水产路.csv,3号线,水产路
6号线_五莲路.csv,6号线,五莲路
10号线_上海图书馆.csv,10号线,上海图书馆
1号线_外环路.csv,1号线,外环路
8号线_延吉中路.csv,8号线,延吉中路
10号线_宋园路.csv,10号线,宋园路
13号线_金沙江西路.csv,13号线,金沙江西路
