name,english,lon,lat,lines,line_count
江月路,JiangYue Lu,121.508603,31.084253,['8号线'],1
江杨北路,JiangYang BeiLu,121.439819,31.407858,['3号线'],1
江浦公园,JiangPu GongYuan,121.523697,31.26457,"['12号线', '18号线']",2
江浦路,JiangPu Lu,121.518379,31.274946,"['18号线', '8号线']",2
江湾体育场,JiangWan TiYuChang,121.513314,31.304293,['10号线'],1
江湾镇,JiangWanZhen,121.485064,31.305566,['3号线'],1
江苏路,JiangSuLu,121.430642,31.220411,"['11号线', '2号线']",2
汶水路,WenShui Lu,121.450251,31.292556,['1号线'],1
沈杜公路,ShenDu GongLu,121.512272,31.061427,"['8号线', '浦江线']",2
沈梅路,ShenMei Lu,121.580589,31.091115,['18号线'],1
泗泾,SiJing,121.260247,31.118272,['9号线'],1
洞泾,DongJing,121.230473,31.084492,['9号线'],1
洲海路,ZhouHai Lu,121.589396,31.312229,['6号线'],1
浦三路,PuSanLu,121.539005,31.150861,['11号线'],1
浦东1号2号航站楼,PuDong 1 Hao 2 Hao HangZhanLou,121.805591,31.150958,"['2号线', '市域机场线', '磁浮线']",3
浦东南路,PuDong NanLu,121.512412,31.238532,['14号线'],1
浦东南路(原东昌路),PuDong NanLu (YuanDongChang Lu),121.515556,31.23327,['2号线'],1
浦东大道,PuDong DaDao,121.519302,31.240308,"['14号线', '4号线']",2
浦东足球场,PuDong ZuQiuChang,121.61543,31.241645,['14号线'],1
浦江镇,PuJiangZhen,121.506272,31.09659,['8号线'],1
浦电路,PuDian Lu,121.529351,31.220154,['6号线'],1
浦航路,PuHang Lu,121.530591,31.040993,['浦江线'],1
海伦路,HaiLun Lu,121.488697,31.259303,"['10号线', '4号线']",2
海天三路,HaiTian San Lu,121.796878,31.168459,['2号线'],1
淀山湖大道,Dian ShanHu DaDao,121.082134,31.13446,['17号线'],1
淞发路,SongFa Lu,121.50039,31.345135,['3号线'],1
淞滨路,SongBin Lu,121.492818,31.370928,['3号线'],1
淞虹路,SongHong Lu,121.359536,31.218225,['2号线'],1
淮海中路,HuaiHai ZhongLu,121.464363,31.220056,['13号线'],1
港城路,GangCheng Lu,121.575017,31.353223,"['10号线', '6号线']",2
源深体育中心,YuanShen TiYu ZhongXin,121.534642,31.233004,['6号线'],1
源深路,YuanShen Lu,121.531016,31.241318,['14号线'],1
滴水湖,DiShuiHu,121.929583,30.907245,['16号线'],1
漕宝路,CaoBao Lu,121.433143,31.168344,"['12号线', '1号线']",2
漕河泾开发区,CaoHeJing KaiFaQu,121.397769,31.170644,['9号线'],1
漕溪路,CaoXi Lu,121.43841,31.176746,['3号线'],1
漕盈路,CaoYing Lu,121.096889,31.160467,['17号线'],1
潘广路,PanGuang Lu,121.355845,31.364182,['7号线'],1
灵岩南路,LingYan NanLu,121.495295,31.148665,['6号线'],1
爱国路,AiGuo Lu,121.552655,31.279788,['12号线'],1
环城东路,HuanCheng DongLu,121.463204,30.931168,['5号线'],1
