name,english,lon,lat,lines,line_count
闵瑞路,MinRui Lu,121.530323,31.047956,['浦江线'],1
闵行开发区,MinHang KaiFaQu,121.369712,31.000627,['5号线'],1
陆家嘴,LuJiaZui,121.502129,31.238259,"['14号线', '2号线']",2
陆家浜路,LuJiaBang Lu,121.486115,31.211789,"['8号线', '9号线']",2
陈春路,ChenChun Lu,121.558194,31.175095,['13号线'],1
陈翔公路,ChenXiang GongLu,121.306787,31.306484,['11号线'],1
陕西南路,ShaanXi NanLu,121.458741,31.215148,"['10号线', '12号线', '1号线']",3
隆德路,LongDe Lu,121.423576,31.230509,"['11号线', '13号线']",2
隆昌路,LongChang Lu,121.544692,31.275213,['12号线'],1
青浦新城,QingPu XinCheng,121.12567,31.158925,['17号线'],1
静安寺,JingAnSi,121.446533,31.223231,"['14号线', '2号线', '7号线']",3
鞍山新村,AnShan XinCun,121.509685,31.273242,['8号线'],1
顾唐路,GuTang Lu,121.656465,31.266074,['9号线'],1
顾戴路,GuDai Lu,121.39185,31.140888,['12号线'],1
顾村公园,GuCun GongYuan,121.373009,31.344594,"['15号线', '7号线']",2
颛桥,ZhuanQiao,121.401868,31.067013,['5号线'],1
马当路,MaDang Lu,121.477256,31.20952,"['13号线', '9号线']",2
马陆,MaLu,121.276906,31.319675,['11号线'],1
高桥,GaoQiao,121.562971,31.352622,['10号线'],1
高桥西,Gao QiaoXi,121.54928,31.351489,['10号线'],1
高科西路,GaoKe XiLu,121.509845,31.185761,"['6号线', '7号线']",2
高青路,GaoQing Lu,121.515787,31.159907,['6号线'],1
鲁班路,LuBan Lu,121.475148,31.199221,['4号线'],1
鹤沙航城,HeSha HangCheng,121.611239,31.077797,['16号线'],1
鹤涛路,HeTao Lu,121.58596,31.07186,['18号线'],1
黄兴公园,HuangXing GongYuan,121.533383,31.295389,['8号线'],1
黄兴路,HuangXing Lu,121.528401,31.278814,['8号线'],1
黄杨路,HuangYang Lu,121.591014,31.233998,['14号线'],1
龙华,LongHua,121.452958,31.172672,"['11号线', '12号线']",2
龙华中路,LongHua ZhongLu,121.457064,31.184379,"['12号线', '7号线']",2
龙柏新村,LongBai XinCun,121.37048,31.176882,['10号线'],1
龙溪路,LongXi Lu,121.380034,31.1944,['10号线'],1
龙漕路,LongCao Lu,121.444383,31.169458,"['12号线', '3号线']",2
龙耀路,LongYao Lu,121.459702,31.15972,['11号线'],1
龙阳路,LongYang Lu,121.557634,31.203575,"['16号线', '18号线', '2号线', '7号线', '磁浮线']",5
