station,total_flow,am_peak_flow,pm_peak_flow,peak_time,peak_flow,dominant_line
天潼路,34562.0,9722.0,8210.0,08:20,541.0,10号线
龙华中路,34246.0,12151.0,10839.0,08:45,1089.0,7号线
杨思,34218.0,12463.0,9641.0,08:20,656.0,8号线
芳华路,34025.0,12676.0,8505.0,08:00,636.0,7号线
中山北路,33878.0,10654.0,9077.0,08:15,481.0,1号线
唐镇,33742.0,14036.0,9849.0,08:00,853.0,2号线
虹桥2号航站楼,33739.0,10224.0,8015.0,08:20,614.0,2号线
行知路,33635.0,12062.0,9954.0,08:00,593.0,7号线
上海西站,33188.0,11994.0,9580.0,08:10,568.0,11号线
桃浦新村,32955.0,11500.0,9197.0,08:00,595.0,11号线
杨高南路,32547.0,12435.0,9396.0,08:10,639.0,7号线
小南门,32284.0,10778.0,8921.0,08:25,543.0,9号线
伊犁路,32124.0,12042.0,10293.0,08:35,814.0,10号线
曲阳路,31724.0,11245.0,8545.0,08:10,551.0,8号线
嘉定北,31695.0,10296.0,7767.0,08:00,515.0,11号线
花木路,31651.0,9795.0,8366.0,08:50,683.0,7号线
金桥路,31602.0,10261.0,9144.0,08:20,578.0,6号线
锦绣路,31533.0,12321.0,8615.0,08:05,618.0,7号线
五角场,31272.0,8388.0,9388.0,08:30,505.0,10号线
宁国路,31219.0,10898.0,8748.0,08:40,580.0,12号线
殷高西路,31193.0,10740.0,8620.0,07:50,526.0,3号线
杨树浦路,31177.0,11644.0,8790.0,08:10,637.0,4号线
临平路,30541.0,9815.0,8640.0,08:25,472.0,4号线
四平路,30521.0,10392.0,8248.0,08:40,521.0,8号线
上海科技馆,30293.0,10033.0,8494.0,08:45,553.0,2号线
长江南路,30228.0,10922.0,8776.0,08:35,517.0,3号线
大木桥路 ,30191.0,10000.0,7988.0,08:30,489.0,4号线
祁连山南路,30184.0,11098.0,9059.0,08:10,548.0,13号线
上海大学站,29885.0,8997.0,8078.0,07:55,510.0,7号线
惠南,29706.0,8053.0,7342.0,07:50,404.0,16号线
李子园路,29307.0,10295.0,8460.0,08:05,479.0,11号线
世纪公园,29239.0,10828.0,8774.0,08:20,648.0,2号线
龙华,29054.0,11266.0,7245.0,08:30,656.0,11号线
枫桥路,28576.0,9705.0,7841.0,08:20,446.0,11号线
三林,28529.0,9875.0,8169.0,08:05,543.0,11号线
黄兴路,28411.0,9432.0,7512.0,08:15,417.0,8号线
江月路,28389.0,9847.0,8291.0,07:55,588.0,8号线
市光路,28382.0,10782.0,7386.0,07:55,601.0,8号线
宝安公路,28166.0,10365.0,7639.0,07:45,528.0,1号线
川沙,27911.0,9693.0,7378.0,08:10,510.0,2号线
隆德路,27868.0,9720.0,8126.0,08:45,474.0,11号线
马当路,27706.0,8945.0,8060.0,08:45,557.0,9号线
中兴路,27690.0,8852.0,7294.0,08:10,373.0,8号线
岚皋路,27181.0,8412.0,7978.0,08:55,486.0,7号线
延吉中路,27141.0,9651.0,7233.0,08:10,522.0,8号线
龙柏新村,26972.0,8746.0,8216.0,08:10,621.0,10号线
同济大学,26698.0,8862.0,7506.0,08:20,474.0,10号线
隆昌路,26416.0,9385.0,7690.0,08:40,474.0,12号线
外环路,26394.0,9749.0,7504.0,08:10,455.0,1号线
美兰湖,26240.0,8245.0,6426.0,07:30,447.0,7号线
武宁路,26179.0,8582.0,7779.0,08:50,447.0,13号线
嘉定新城,25907.0,9217.0,7062.0,07:40,503.0,11号线
鹤沙航城,25833.0,9271.0,7226.0,07:45,489.0,16号线
赤峰路,25346.0,7774.0,7019.0,08:00,370.0,3号线
国权路,25177.0,8937.0,7201.0,08:25,462.0,10号线
颛桥,25048.0,9012.0,7011.0,07:25,452.0,5号线
龙漕路,24854.0,7537.0,7633.0,08:25,405.0,3号线
长清路,24836.0,9167.0,6706.0,08:15,419.0,7号线
东川路,24832.0,8197.0,7076.0,07:50,398.0,5号线
丰庄,24496.0,8676.0,7084.0,08:15,465.0,13号线
巨峰路,24315.0,8848.0,7531.0,07:50,283.0,12号线
东宝兴路,24221.0,7902.0,6615.0,09:00,508.0,3号线
场中路,24041.0,8360.0,6304.0,07:55,425.0,7号线
博兴路,23992.0,8878.0,7141.0,08:20,457.0,6号线
祁连山路,23950.0,8886.0,6803.0,08:45,464.0,11号线
德平路,23686.0,7682.0,6416.0,08:00,350.0,6号线
御桥,23603.0,8326.0,6583.0,08:00,457.0,11号线
江浦公园,23499.0,8296.0,6514.0,08:10,424.0,12号线
南浦大桥,23490.0,7769.0,6155.0,08:35,391.0,4号线
宋园路,23380.0,8495.0,7033.0,08:30,526.0,10号线
水城路,23354.0,7306.0,6754.0,08:15,330.0,10号线
宝山路,23181.0,7252.0,5481.0,08:10,313.0,3号线
联航路,23037.0,9074.0,6477.0,07:45,477.0,8号线
新闸路,22989.0,7681.0,5847.0,08:45,484.0,1号线
浦江镇,22776.0,8167.0,6686.0,08:30,423.0,8号线
呼兰路,22701.0,8984.0,5972.0,07:50,398.0,1号线
鞍山新村,22143.0,7152.0,6099.0,08:40,329.0,8号线
高科西路,22075.0,8017.0,6596.0,08:45,413.0,6号线
周浦东,21952.0,7533.0,6298.0,08:40,421.0,16号线
